references,quantity_positions,quantity_required,unit,mpn,manufacturer,description,dnp,selection_status,lifecycle,source_url,constraints,supplier_stock_verified,stock_status,state
EXT_RBANK,2,2,each,RH10010R00FE01,Vishay,10ohm100W1% aluminum-housed resistor,false,exact_part_selected,Catalog/source evidence; verify exact lifecycle at ordering,https://www.vishay.com/docs/30201/rhnh.pdf,"Two in parallel. Each on separate305x305x3.2mm aluminum panel for prototype.500J bank initialtest, coldstart and repetition constraints apply.",false,unverified_at_build,engineering_review_not_order_release
EXT_NTC,2,2,each,NTCLE100E3103GB0,Vishay,10kohm2% external NTCs,false,exact_part_selected,Catalog/source evidence; verify exact lifecycle at ordering,https://www.vishay.com/docs/29049/ntcle100.pdf,Independent analog and telemetry sensors on resistor assembly; do not combine their circuits.,false,unverified_at_build,engineering_review_not_order_release
EXT_MATE_2P,8,8,each,1777989,Phoenix Contact,MSTB2.5/2-STF-5.08 screw-flanged mating plug,false,exact_part_selected,Catalog/source evidence; verify exact lifecycle at ordering,https://www.phoenixcontact.com/en-dk/products/pcb-connector-mstb-25-2-stf-508-1777989,Mechanically code distinct voltage/input/output branches; no live-mating interrupt rating credited.,false,unverified_at_build,engineering_review_not_order_release
EXT_MATE_2P_DNP,1,0,each,1777989,Phoenix Contact,MSTB2.5/2-STF-5.08 screw-flanged mating plug,true,exact_part_selected,Catalog/source evidence; verify exact lifecycle at ordering,https://www.phoenixcontact.com/en-dk/products/pcb-connector-mstb-25-2-stf-508-1777989,Mechanically code distinct voltage/input/output branches; no live-mating interrupt rating credited.,false,unverified_at_build,engineering_review_not_order_release
EXT_MATE_LED,1,1,each,1777992,Phoenix Contact,3position5.08mm flanged mating plug forJ18,false,exact_part_selected,Catalog/source evidence; verify exact lifecycle at ordering,https://www.phoenixcontact.com/en-us/products/pcb-connector-mstb-25-3-stf-508-1777992,1mm2 power/return;0.25mm2 data;5A LED branch envelope.,false,unverified_at_build,engineering_review_not_order_release
EXT_CAN_HOUSING,2,2,each,GHR-04V-S,JST,4position GH cable housing,false,exact_part_selected,Catalog/source evidence; verify exact lifecycle at ordering,https://www.jst-mfg.com/product/pdf/eng/eGH.pdf,,false,unverified_at_build,engineering_review_not_order_release
EXT_CAN_CONTACT,8,8,each,SSHL-002T-P0.2,JST,GH female crimp contact,false,exact_part_selected,Catalog/source evidence; verify exact lifecycle at ordering,https://www.jst-mfg.com/product/pdf/eng/eGH.pdf,0.14..0.2mm2 wire range; compatible qualified crimp tooling required; quantity excludes assembly spares.,false,unverified_at_build,engineering_review_not_order_release
EXT_AL_PANELS,2,2,each,,,Aluminum heat-spreader panel305x305x3.2mm,false,raw_stock_specification_only,Not applicable until manufacturer part selected,design/CHOPPER_MECHANICS.md,"Material grade, mounting holes, insulation/guards and fasteners need released assembly drawing.",false,unverified_at_build,engineering_review_not_order_release
EXT_MECH_CATALOG_1,31,31,each,SSCF-M3-12-A2-P80,Accu,"M3x12 full-thread stainlessA2 socket screw, DIN912/ISO4762, precote80 locking coating",false,exact_part_selected,Catalog/source evidence; verify exact lifecycle at ordering,https://www.accu.co.uk/metric-cap-head-screws/659714-SSCF-M3-12-A2-P80,"Order code: SSCF-M3-12-A2-P80; Single-use locking coating; replace after removal. Locking-coating torque is not used to infer clamp force. No washer under head atNT screws; washer under head atBC screws.; dimensions/acceptance: {""head_diameter_mm"": 5.5, ""head_height_mm"": 3, ""thread_pitch_mm"": 0.5, ""underhead_length_mm"": 12}; coupon acceptance in manufacturing/MECHANICAL_CATALOG_BOM.json; stock unverified.",false,unverified_at_build,engineering_review_not_order_release
EXT_MECH_CATALOG_2,31,31,each,HPN-M3-A2,Accu,"M3 stainlessA2 hex nut, DIN934",false,exact_part_selected,Catalog/source evidence; verify exact lifecycle at ordering,https://www.accu.co.uk/hexagon-nuts/7888-HPN-M3-A2,"Order code: HPN-M3-A2; ; dimensions/acceptance: {""across_flats_mm"": 5.5, ""thickness_mm"": 2.4, ""thread_pitch_mm"": 0.5}; coupon acceptance in manufacturing/MECHANICAL_CATALOG_BOM.json; stock unverified.",false,unverified_at_build,engineering_review_not_order_release
EXT_MECH_CATALOG_3,46,46,each,HDTW-M3-A4-BL,Accu,"M3 DIN7349 heavy flat washer, stainlessA4 black finish;15topBC+31bottomspringseats",false,exact_part_selected,Catalog/source evidence; verify exact lifecycle at ordering,https://www.accu.co.uk/metric-flat-washers/173323-HDTW-M3-A4-BL,"Order code: HDTW-M3-A4-BL; Supports8mm disc spring; steel washer is not credited as current path. No teeth againstPCB.; dimensions/acceptance: {""inner_diameter_mm"": 3.2, ""outer_diameter_mm"": 9, ""thickness_mm"": 1, ""thickness_tolerance_mm"": 0.2}; coupon acceptance in manufacturing/MECHANICAL_CATALOG_BOM.json; stock unverified.",false,unverified_at_build,engineering_review_not_order_release
EXT_MECH_CATALOG_4,93,93,each,660001,SPIROL,Disc spring DSC8x3.2x0.3BR; three nested same-direction springs per clamp,false,exact_part_selected,Catalog/source evidence; verify exact lifecycle at ordering,https://shop.spirol.com/item/disc-springs/disc-springs-to-din-en-16983/660001,"Order code: 660001; High-carbon steel, phosphate/oil. Nested-stack friction, load spread, coating and copper/FR4 creep require coupon confirmation. Do not equate catalogue nominal312N to measuredforce.; dimensions/acceptance: {""cone_height_mm"": 0.25, ""free_height_mm"": 0.55, ""inner_diameter_mm"": 3.2, ""material_thickness_mm"": 0.3, ""outer_diameter_mm"": 8}; coupon acceptance in manufacturing/MECHANICAL_CATALOG_BOM.json; stock unverified.",false,unverified_at_build,engineering_review_not_order_release
EXT_MECH_CATALOG_5,1,1,each,IM30-FM-000200,Goodfellow,"KaptonHN polyimide film50um,500x500mm sheet;cut four continuous layers perbar",false,exact_part_selected,Catalog/source evidence; verify exact lifecycle at ordering,https://www.goodfellow-japan.jp/en/product/polyimide-film-IM30-FM-000200.htm,"Order code: 312-663-72; Incoming four-layer stack must be<=0.22mm to maintain contact shim protrusion. This is a stricter assembly acceptance than catalogue nominal; oversizefilm is rejected, not silently compensated by torque. One500mmsheet supplies thecutpieces; no within-bar seams.; dimensions/acceptance: {""nominal_thickness_mm"": 0.05, ""published_thickness_tolerance_percent"": 20, ""sheet_mm"": [500, 500]}; coupon acceptance in manufacturing/MECHANICAL_CATALOG_BOM.json; stock unverified.",false,unverified_at_build,engineering_review_not_order_release
BB1,1,1,each,,Fabricate to HomeMy drawing,Custom Cu-ETP underside busbar BB1,false,custom_manufactured_to_project_drawing,Custom part controlled by HomeMy mechanical drawing; catalogue lifecycle not applicable,manufacturing/busbar-pcb-interface.json,"Geometry, cutouts, contact coordinates and thickness are controlled by the JSON and companion mechanical drawing; no shunt/FET bypass; coupon and first-article acceptance required. {""contact_refs"": [""BC1"", ""BC2""], ""cutouts"": [], ""hole_position_tolerance_mm"": 0.1, ""holes"": [{""diameter_mm"": 3.4, ""function"": ""BC1"", ""x"": 43, ""y"": 20}, {""diameter_mm"": 3.4, ""function"": ""BC2"", ""x"": 43, ""y"": 78}], ""insulation"": ""0.20 mm PET/polyimide sheet, no adhesive in contact windows; Cu contact shim OD8/ID3.4/thickness0.25 mm bridges film stand-off; see assembly document"", ""material"": ""Cu-ETP / CW004A, conductivity certificate required"", ""minimum_unperforated_width_mm"": 12, ""mounting_side"": ""B.Cu underside"", ""net"": ""BATT_SENSED_P"", ""outline"": [[37, 14], [49, 14], [49, 86], [37, 86]], ""outline_tolerance_mm"": 0.2, ""ref"": ""BB1"", ""thickness_mm"": 2.0, ""thickness_tolerance_mm"": 0.1}",false,unverified_at_build,engineering_review_not_order_release
BB2,1,1,each,,Fabricate to HomeMy drawing,Custom Cu-ETP underside busbar BB2,false,custom_manufactured_to_project_drawing,Custom part controlled by HomeMy mechanical drawing; catalogue lifecycle not applicable,manufacturing/busbar-pcb-interface.json,"Geometry, cutouts, contact coordinates and thickness are controlled by the JSON and companion mechanical drawing; no shunt/FET bypass; coupon and first-article acceptance required. {""contact_refs"": [""BC3"", ""BC4""], ""cutouts"": [], ""hole_position_tolerance_mm"": 0.1, ""holes"": [{""diameter_mm"": 3.4, ""function"": ""BC3"", ""x"": 70, ""y"": 26}, {""diameter_mm"": 3.4, ""function"": ""BC4"", ""x"": 70, ""y"": 74}], ""insulation"": ""0.20 mm PET/polyimide sheet, no adhesive in contact windows; Cu contact shim OD8/ID3.4/thickness0.25 mm bridges film stand-off; see assembly document"", ""material"": ""Cu-ETP / CW004A, conductivity certificate required"", ""minimum_unperforated_width_mm"": 10, ""mounting_side"": ""B.Cu underside"", ""net"": ""MAIN_COMMON"", ""outline"": [[65, 14], [75, 14], [75, 86], [65, 86]], ""outline_tolerance_mm"": 0.2, ""ref"": ""BB2"", ""thickness_mm"": 2.0, ""thickness_tolerance_mm"": 0.1}",false,unverified_at_build,engineering_review_not_order_release
BB3,1,1,each,,Fabricate to HomeMy drawing,Custom Cu-ETP underside busbar BB3,false,custom_manufactured_to_project_drawing,Custom part controlled by HomeMy mechanical drawing; catalogue lifecycle not applicable,manufacturing/busbar-pcb-interface.json,"Geometry, cutouts, contact coordinates and thickness are controlled by the JSON and companion mechanical drawing; no shunt/FET bypass; coupon and first-article acceptance required. {""contact_refs"": [""BC5"", ""BC6""], ""cutouts"": [], ""hole_position_tolerance_mm"": 0.1, ""holes"": [{""diameter_mm"": 3.4, ""function"": ""BC5"", ""x"": 100, ""y"": 25}, {""diameter_mm"": 3.4, ""function"": ""BC6"", ""x"": 100, ""y"": 55}], ""insulation"": ""0.20 mm PET/polyimide sheet, no adhesive in contact windows; Cu contact shim OD8/ID3.4/thickness0.25 mm bridges film stand-off; see assembly document"", ""material"": ""Cu-ETP / CW004A, conductivity certificate required"", ""minimum_unperforated_width_mm"": 12, ""mounting_side"": ""B.Cu underside"", ""net"": ""SYS_BUS_P"", ""outline"": [[94, 14], [106, 14], [106, 74], [94, 74]], ""outline_tolerance_mm"": 0.2, ""ref"": ""BB3"", ""thickness_mm"": 2.0, ""thickness_tolerance_mm"": 0.1}",false,unverified_at_build,engineering_review_not_order_release
BB4,1,1,each,,Fabricate to HomeMy drawing,Custom Cu-ETP underside busbar BB4,false,custom_manufactured_to_project_drawing,Custom part controlled by HomeMy mechanical drawing; catalogue lifecycle not applicable,manufacturing/busbar-pcb-interface.json,"Geometry, cutouts, contact coordinates and thickness are controlled by the JSON and companion mechanical drawing; no shunt/FET bypass; coupon and first-article acceptance required. {""contact_refs"": [""BC7"", ""BC8""], ""cutouts"": [], ""hole_position_tolerance_mm"": 0.1, ""holes"": [{""diameter_mm"": 3.4, ""function"": ""BC7"", ""x"": 135, ""y"": 25}, {""diameter_mm"": 3.4, ""function"": ""BC8"", ""x"": 135, ""y"": 65}], ""insulation"": ""0.20 mm PET/polyimide sheet, no adhesive in contact windows; Cu contact shim OD8/ID3.4/thickness0.25 mm bridges film stand-off; see assembly document"", ""material"": ""Cu-ETP / CW004A, conductivity certificate required"", ""minimum_unperforated_width_mm"": 12, ""mounting_side"": ""B.Cu underside"", ""net"": ""MOTION_SENSED_P"", ""outline"": [[129, 19], [141, 19], [141, 79], [129, 79]], ""outline_tolerance_mm"": 0.2, ""ref"": ""BB4"", ""thickness_mm"": 2.0, ""thickness_tolerance_mm"": 0.1}",false,unverified_at_build,engineering_review_not_order_release
BB5,1,1,each,,Fabricate to HomeMy drawing,Custom Cu-ETP underside busbar BB5,false,custom_manufactured_to_project_drawing,Custom part controlled by HomeMy mechanical drawing; catalogue lifecycle not applicable,manufacturing/busbar-pcb-interface.json,"Geometry, cutouts, contact coordinates and thickness are controlled by the JSON and companion mechanical drawing; no shunt/FET bypass; coupon and first-article acceptance required. {""contact_refs"": [""BC9"", ""BC10""], ""cutouts"": [], ""hole_position_tolerance_mm"": 0.1, ""holes"": [{""diameter_mm"": 3.4, ""function"": ""BC9"", ""x"": 165, ""y"": 28}, {""diameter_mm"": 3.4, ""function"": ""BC10"", ""x"": 165, ""y"": 48}], ""insulation"": ""0.20 mm PET/polyimide sheet, no adhesive in contact windows; Cu contact shim OD8/ID3.4/thickness0.25 mm bridges film stand-off; see assembly document"", ""material"": ""Cu-ETP / CW004A, conductivity certificate required"", ""minimum_unperforated_width_mm"": 10, ""mounting_side"": ""B.Cu underside"", ""net"": ""MOTION_COMMON"", ""outline"": [[160, 19], [170, 19], [170, 79], [160, 79]], ""outline_tolerance_mm"": 0.2, ""ref"": ""BB5"", ""thickness_mm"": 2.0, ""thickness_tolerance_mm"": 0.1}",false,unverified_at_build,engineering_review_not_order_release
BB6,1,1,each,,Fabricate to HomeMy drawing,Custom Cu-ETP underside busbar BB6,false,custom_manufactured_to_project_drawing,Custom part controlled by HomeMy mechanical drawing; catalogue lifecycle not applicable,manufacturing/busbar-pcb-interface.json,"Geometry, cutouts, contact coordinates and thickness are controlled by the JSON and companion mechanical drawing; no shunt/FET bypass; coupon and first-article acceptance required. {""contact_refs"": [""BC11"", ""BC12"", ""BC13"", ""BC14""], ""cutouts"": [{""corner_radius_mm"": 1, ""outline"": [[214.0, 14.0], [226.0, 14.0], [226.0, 26.0], [214.0, 26.0]], ""reason"": ""J3 all eight pressfit tails; no bar contact to pin ends""}, {""corner_radius_mm"": 1, ""outline"": [[244.0, 14.0], [256.0, 14.0], [256.0, 26.0], [244.0, 26.0]], ""reason"": ""J5 all eight pressfit tails; no bar contact to pin ends""}], ""hole_position_tolerance_mm"": 0.1, ""holes"": [{""diameter_mm"": 3.4, ""function"": ""BC11"", ""x"": 195, ""y"": 42}, {""diameter_mm"": 3.4, ""function"": ""BC12"", ""x"": 195, ""y"": 72}, {""diameter_mm"": 3.4, ""function"": ""BC13"", ""x"": 235, ""y"": 20}, {""diameter_mm"": 3.4, ""function"": ""BC14"", ""x"": 272, ""y"": 20}], ""insulation"": ""0.20 mm PET/polyimide sheet, no adhesive in contact windows; Cu contact shim OD8/ID3.4/thickness0.25 mm bridges film stand-off; see assembly document"", ""material"": ""Cu-ETP / CW004A, conductivity certificate required"", ""minimum_unperforated_width_mm"": 12, ""mounting_side"": ""B.Cu underside"", ""net"": ""MOTION_BUS_P"", ""outline"": [[188, 8], [278, 8], [278, 32], [202, 32], [202, 87], [188, 87]], ""outline_tolerance_mm"": 0.2, ""ref"": ""BB6"", ""thickness_mm"": 2.0, ""thickness_tolerance_mm"": 0.1}",false,unverified_at_build,engineering_review_not_order_release
