references,quantity_positions,quantity_required,unit,mpn,manufacturer,description,dnp,selection_status,lifecycle,source_url,constraints,required_before,pcb_footprint_change_allowed,fixed_interface,closure_evidence,supplier_stock_verified,stock_status,state
EXT_RBANK,2,2,each,RH10010R00FE01,Vishay,10ohm100W1% aluminum-housed resistor,false,exact_part_selected,Catalog/source evidence; verify exact lifecycle at ordering,https://www.vishay.com/docs/30201/rhnh.pdf,"Two in parallel. Each on separate305x305x3.2mm aluminum panel for prototype.500J bank initialtest, coldstart and repetition constraints apply.",selected_or_drawing_controlled,false,,,false,unverified_at_build,DRAFT_NOT_RELEASED_A2_280x260
EXT_NTC,2,2,each,NTCLE100E3103GB0,Vishay,10kohm2% external NTCs,false,exact_part_selected,Catalog/source evidence; verify exact lifecycle at ordering,https://www.vishay.com/docs/29049/ntcle100.pdf,Independent analog and telemetry sensors on resistor assembly; do not combine their circuits.,selected_or_drawing_controlled,false,,,false,unverified_at_build,DRAFT_NOT_RELEASED_A2_280x260
EXT_MATE_2P,8,8,each,1777989,Phoenix Contact,MSTB2.5/2-STF-5.08 screw-flanged mating plug,false,exact_part_selected,Catalog/source evidence; verify exact lifecycle at ordering,https://www.phoenixcontact.com/en-dk/products/pcb-connector-mstb-25-2-stf-508-1777989,Mechanically code distinct voltage/input/output branches; no live-mating interrupt rating credited.,selected_or_drawing_controlled,false,,,false,unverified_at_build,DRAFT_NOT_RELEASED_A2_280x260
EXT_MATE_2P_DNP,1,0,each,1777989,Phoenix Contact,MSTB2.5/2-STF-5.08 screw-flanged mating plug,true,exact_part_selected,Catalog/source evidence; verify exact lifecycle at ordering,https://www.phoenixcontact.com/en-dk/products/pcb-connector-mstb-25-2-stf-508-1777989,Mechanically code distinct voltage/input/output branches; no live-mating interrupt rating credited.,selected_or_drawing_controlled,false,,,false,unverified_at_build,DRAFT_NOT_RELEASED_A2_280x260
EXT_MATE_LED,1,1,each,1777992,Phoenix Contact,3position5.08mm flanged mating plug forJ18,false,exact_part_selected,Catalog/source evidence; verify exact lifecycle at ordering,https://www.phoenixcontact.com/en-us/products/pcb-connector-mstb-25-3-stf-508-1777992,1mm2 power/return;0.25mm2 data;5A LED branch envelope.,selected_or_drawing_controlled,false,,,false,unverified_at_build,DRAFT_NOT_RELEASED_A2_280x260
EXT_CAN_HOUSING,2,2,each,GHR-04V-S,JST,4position GH cable housing,false,exact_part_selected,Catalog/source evidence; verify exact lifecycle at ordering,https://www.jst-mfg.com/product/pdf/eng/eGH.pdf,,selected_or_drawing_controlled,false,,,false,unverified_at_build,DRAFT_NOT_RELEASED_A2_280x260
EXT_CAN_CONTACT,8,8,each,SSHL-002T-P0.2,JST,GH female crimp contact,false,exact_part_selected,Catalog/source evidence; verify exact lifecycle at ordering,https://www.jst-mfg.com/product/pdf/eng/eGH.pdf,0.14..0.2mm2 wire range; compatible qualified crimp tooling required; quantity excludes assembly spares.,selected_or_drawing_controlled,false,,,false,unverified_at_build,DRAFT_NOT_RELEASED_A2_280x260
EXT_AL_PANELS,2,2,each,,,Aluminum heat-spreader panel305x305x3.2mm,false,raw_stock_specification_only,Not applicable until manufacturer part selected,../rev-a/design/CHOPPER_MECHANICS.md,"Material grade, mounting holes, insulation/guards and fasteners need released assembly drawing.",before_energization,false,Two independent external 305 x 305 x 3.2 mm resistor heat-spreader panels; no attachment holes are added to the PCB.,"Select alloy, transfer actual RH100 hole pattern, guards, fasteners and thermal sensor attachment; assemble and inspect before a resistor-bank pulse.",false,unverified_at_build,DRAFT_NOT_RELEASED_A2_280x260
EXT_MECH_CATALOG_1,31,31,each,SSCF-M3-12-A2-P80,Accu,"M3x12 full-thread stainlessA2 socket screw, DIN912/ISO4762, precote80 locking coating",false,exact_part_selected,Catalog/source evidence; verify exact lifecycle at ordering,https://www.accu.co.uk/metric-cap-head-screws/659714-SSCF-M3-12-A2-P80,"Order code: SSCF-M3-12-A2-P80; Single-use locking coating; replace after removal. Locking-coating torque is not used to infer clamp force. No washer under head atNT screws; washer under head atBC screws.; dimensions/acceptance: {""head_diameter_mm"": 5.5, ""head_height_mm"": 3, ""thread_pitch_mm"": 0.5, ""underhead_length_mm"": 12}; coupon acceptance in ../rev-a/manufacturing/MECHANICAL_CATALOG_BOM.json; stock unverified.",selected_or_drawing_controlled,false,,,false,unverified_at_build,DRAFT_NOT_RELEASED_A2_280x260
EXT_MECH_CATALOG_2,31,31,each,HPN-M3-A2,Accu,"M3 stainlessA2 hex nut, DIN934",false,exact_part_selected,Catalog/source evidence; verify exact lifecycle at ordering,https://www.accu.co.uk/hexagon-nuts/7888-HPN-M3-A2,"Order code: HPN-M3-A2; ; dimensions/acceptance: {""across_flats_mm"": 5.5, ""thickness_mm"": 2.4, ""thread_pitch_mm"": 0.5}; coupon acceptance in ../rev-a/manufacturing/MECHANICAL_CATALOG_BOM.json; stock unverified.",selected_or_drawing_controlled,false,,,false,unverified_at_build,DRAFT_NOT_RELEASED_A2_280x260
